Food,Protein (g/g),Fat (g/g),Carbohydrates (g/g),Fiber (g/g),Vitamin A (μg/g),Vitamin E (mg/g),Vitamin K (μg/g),Vitamin C (mg/g),Thiamin (B1) (mg/g),Riboflavin (B2) (mg/g),Niacin (B3) (mg/g),Pantothenic Acid (B5) (mg/g),Vitamin B6 (mg/g),Biotin (B7) (μg/g),Folate (B9) (μg/g),Vitamin B12 (μg/g),Calcium (mg/g),Phosphorus (mg/g),Magnesium (mg/g),Potassium (mg/g),Sodium (mg/g),Chloride (mg/g),Iron (mg/g),Zinc (mg/g),Iodine (μg/g),Selenium (μg/g),Copper (μg/g),Manganese (mg/g),Chromium (μg/g),Molybdenum (μg/g),Omega-3 Fatty Acids (g/g),Omega-6 Fatty Acids (g/g),Cost Per Gram,Calories per gram
Lentils,0.2450000000,0.0080000000,0.6200000000,0.1560000000,0.0200000000,0.0094000000,0.0300000000,0.0480000000,0.0030000000,0.0410000000,0.0050000000,0.0126000000,0.1800000000,0.2000000000,4.8000000000,0.0000000000,0.0376200000,2.8000000000,3.0000000000,9.0000000000,0.0047100000,1.6700000000,0.0700000000,0.0478000000,0.0000000000,0.0055400000,7.5400000000,0.0098000000,0.0050000000,0.1302083333,0.0000000000,0.0000000000,0.0050160000,3.4100000000
Eggs,0.1200000000,0.1000000000,0.0120000000,0.0000000000,0.0012000000,0.0130000000,0.0000000000,0.0000000000,0.0003000000,0.0011000000,0.0007000000,0.0005000000,0.0003000000,0.2000000000,0.3793103448,0.0111000000,0.0250000000,0.1720000000,0.0050000000,0.0680000000,0.0140000000,1.5689655172,0.0008000000,0.0106000000,0.5000000000,0.0030800000,0.0003000000,0.0001000000,0.2000000000,0.1600000000,0.0020000000,0.0150000000,0.0076000000,0.7142857143
Sardines,0.1594202899,0.1159420290,0.0000000000,0.0000000000,0.2900000000,0.0206521739,0.0000260000,0.0000000000,0.0001200000,0.0003400000,0.0007800000,0.0009600000,0.0002500000,0.2340000000,0.0280000000,0.1000000000,2.4927536232,7.3000000000,0.0580000000,1.8550724638,3.9130434783,0.1000000000,0.0101449275,0.0020000000,1.1882352941,0.0785000000,2.1739130435,0.0016000000,0.0000000000,0.2898550725,0.0141176471,0.0362222222,0.0143478261,0.5750000000
Chicken Breast,0.2500000000,0.0089285714,0.0000000000,0.0000000000,0.0001700000,0.0020000000,0.0073000000,0.0000000000,0.0017000000,0.0032000000,0.0964705882,0.0270000000,0.0081176471,0.0588235294,0.0300000000,0.0034000000,0.0102000000,0.4097000000,0.0544000000,0.5831000000,0.0799000000,0.0000000000,0.0083000000,0.0100000000,0.1100000000,0.2282352941,0.5000000000,0.0002000000,0.0058823529,0.0330000000,0.0003529412,0.0082300885,0.0080000000,1.0714285714
Chickpeas,0.1964285714,0.0535714286,0.6250000000,0.2321428571,0.0002500000,0.0082000000,0.0110000000,0.0400000000,0.0005000000,0.0021200000,0.0154100000,0.0158800000,0.0005500000,0.0641025641,1.5000000000,0.0000000000,0.5700000000,2.5200000000,0.7900000000,7.1800000000,0.1785714286,1.0000000000,0.0450000000,0.0276000000,0.0000000000,0.0000000000,0.6560000000,0.0268902439,0.0080000000,1.2000000000,0.0007000000,0.0270000000,0.0021421053,2.8571428571
Black Beans,0.2321428571,0.0178571429,0.5892857143,0.3035714286,0.0001000000,0.0020000000,0.0060000000,0.0000000000,0.0090000000,0.0020000000,0.0200000000,0.0090000000,0.0030000000,0.0088888889,1.5000000000,0.0000000000,0.1200000000,3.5200000000,1.2000000000,14.8600000000,0.0050000000,0.0853846154,0.0500000000,0.0370000000,0.0185714286,0.0030000000,1.8181818182,0.0110000000,0.0000000000,0.7214285714,0.0000000000,0.0050000000,0.0021607143,2.3214285714
Oats,0.1333333333,0.0666666667,0.6666666667,0.1111111111,0.0000000000,0.0041975309,0.0000000000,0.0000000000,0.0080000000,0.0010000000,0.0050000000,0.0013000000,0.0010000000,0.0000000000,0.3200000000,0.0000000000,0.0540000000,4.1000000000,1.7700000000,0.0600000000,0.0000000000,0.0000000000,0.0424691358,0.0027000000,0.0000000000,0.0043000000,0.0060000000,0.0490000000,0.0000000000,1.6040000000,0.0000000000,0.0250000000,0.0016854839,3.7777777778
Brown Rice,0.0638297872,0.0212765957,0.6808510638,0.0212765957,0.0000000000,0.0005000000,0.0000000000,0.0000000000,0.0060000000,0.0010000000,0.0080000000,0.0010000000,0.0060000000,0.0000000000,0.0800000000,0.0000000000,0.0430000000,2.6400000000,1.4300000000,2.6900000000,0.0080000000,0.0000000000,0.0034000000,0.0038000000,0.0060000000,0.0000000000,0.0027900000,0.0373000000,0.0000000000,0.0975609756,0.0000000000,0.0190000000,0.0019391753,3.1914893617
Whole Grain Bread,0.1000000000,0.0500000000,0.5000000000,0.0250000000,0.0000000000,0.0065217391,0.0056000000,0.0000000000,0.0010000000,0.0006000000,0.0108000000,0.0015000000,0.0005000000,0.0000000000,0.5000000000,0.0000000000,2.5000000000,0.0641200000,0.0240800000,2.2100000000,0.1475600000,0.0000000000,0.0092000000,0.0005400000,0.0190000000,0.0001025000,3.1000000000,0.0065000000,0.0000000000,0.3571428571,0.0000000000,0.0028000000,0.0037500000,2.7500000000
Quinoa,0.1428571429,0.0357142857,0.7619047619,0.1190476190,0.0000000000,0.0008000000,0.0000000000,0.0000000000,0.0008000000,0.0004000000,0.0050000000,0.0008000000,0.0013000000,0.0000000000,0.4200000000,0.0000000000,0.0150000000,4.5700000000,1.9534883721,0.0600000000,0.0000000000,0.0000000000,0.1000000000,0.0018000000,0.0000000000,0.0000000000,0.0059000000,0.0203000000,0.0000000000,0.0000000000,0.0000000000,0.0050000000,0.0056793478,4.0476190476
Broccoli,0.0280000000,0.0045000000,0.0695000000,0.0275000000,0.3500000000,0.0014473684,1.0600000000,1.0100000000,0.0015000000,0.0016500000,0.0150000000,0.0160000000,0.0028500000,0.0000000000,0.1155000000,0.0000000000,0.5500000000,0.6590000000,0.2700000000,3.8800000000,0.4100000000,0.1000000000,0.0130000000,0.0055000000,0.0100000000,0.0390000000,0.4395604396,0.0025000000,0.2417582418,0.0000000000,0.0000000000,0.0000000000,0.0028205128,0.3412000000
Carrots,0.0128205128,0.0015000000,0.0897435897,0.0256410256,12.6923076923,0.0065625000,0.0081000000,0.1153846154,0.0000400000,0.0000400000,0.0006000000,0.0001700000,0.0000800000,0.0000000000,0.0001160000,0.0000000000,0.3333333333,0.0214000000,0.0073200000,3.2051282051,0.5800000000,0.0000000000,0.0001800000,0.0024000000,0.0000000000,0.0000600000,0.0000300000,0.0000900000,0.0049180328,0.0000000000,0.0000000000,0.0000700000,0.0005000000,0.3846153846
Yams,0.0190000000,0.0002000000,0.2450000000,0.0370000000,1.0960000000,0.0010000000,0.0000260000,0.0003000000,0.0001000000,0.0001000000,0.0002000000,0.0001000000,0.0003000000,0.0192000000,0.1075735294,0.0000000000,0.0037000000,0.0062000000,0.2100000000,0.0411000000,0.0067000000,0.0000000000,0.0001000000,0.0019852941,0.0000000000,0.0002000000,1.5000000000,0.0010000000,0.0000000000,0.0000000000,0.0010000000,0.0000000000,0.0032603604,0.8614000000
Spinach,0.0287000000,0.0040000000,0.0367000000,0.0220000000,0.0046700000,0.0006100000,0.0048300000,0.0002800000,0.0000670000,0.0002000000,0.0000730000,0.0000670000,0.0002000000,0.0000000000,1.9400000000,0.0000000000,0.0009900000,0.0004900000,0.7900000000,0.0055800000,0.0007900000,0.0000000000,0.0002700000,0.0053333333,0.0000000000,0.0000100000,1.3333333333,0.0000900000,0.0230000000,0.0000000000,0.0001400000,0.0000260000,0.0052213333,0.2315000000
Beets,0.0160000000,0.0017000000,0.0950000000,0.0280000000,0.0002000000,0.0003676471,0.0020000000,0.0049000000,0.0002900000,0.0003700000,0.0033000000,0.0015000000,0.0006600000,0.0000000000,1.0882352941,0.0000000000,0.0160000000,0.0400000000,0.0230000000,3.2500000000,0.0780000000,1.0000000000,0.0080000000,0.0035000000,0.0000000000,0.0070000000,0.7000000000,0.0033000000,0.0000000000,0.0000000000,0.0000000000,0.0006000000,0.0032521739,0.4315000000
Red Onions,0.0110000000,0.0010000000,0.0930000000,0.0170000000,0.0000000000,0.0000000000,0.0000000000,0.0041000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.9000000000,0.1100000000,0.0000000000,0.0000000000,0.0016751269,0.0000000000,0.0000000000,0.5454545455,0.0012000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0021706667,0.3716000000
Canned Corn,0.0160000000,0.0080000000,0.1040000000,0.0160000000,0.0003000000,0.0001500000,0.0000000000,0.0030000000,0.0000600000,0.0001500000,0.0016000000,0.0003400000,0.0000600000,0.0000000000,0.3900000000,0.0000000000,0.0049000000,0.6000000000,0.1530000000,1.1200000000,3.3620000000,0.0000000000,0.0044000000,0.0052000000,0.0000000000,0.0098000000,0.0342857143,0.0011000000,0.0000000000,0.0000000000,0.0000300000,0.0048000000,0.0015428571,0.5600000000
